"us" "led" "dir" "war2" "warcri" "warcase" "scmedian" "lctdir" "analu" "value" "term" "nyt" "rally2" "crisis" "sgwin" "uswin" "bef75" "scm" "scm2"
" 3280624" "        " 0 0 0 0  0.605 0 0 1 1945 0 0 0 NA  1 1 1.105 1.221025
" 3280633" "        " 1 0 0 0  0.605 0 0 1 1945 0 0 0 NA  0 1 1.105 1.221025
" 3280640" "        " 0 0 0 0  0.605 0 0 1 1945 0 0 0 NA  1 1 1.105 1.221025
" 3280654" "        " 0 0 0 2  0.605 0 0 2 1945 0 0 0 NA  1 1 1.105 1.221025
" 3280750" "        " 1 0 0 0  0.605 0 0 1 1945 0 0 0 NA  0 1 1.105 1.221025
"352/0001" "001/0001" 1 0 0 0  0.455 0 0 1 1956 0 0 0 NA  0 1 0.955 0.912025
"352/0103" "001/0171" 1 0 0 0  0.455 1 0 4 1956 0 0 0 NA NA 1 0.955 0.912025
"352/0112" "001/0178" 1 0 0 0  0.455 0 0 4 1956 0 0 0 NA NA 1 0.955 0.912025
"352/0180" "001/0225" 1 0 0 0  0.455 1 0 2 1956 0 0 0 NA  0 1 0.955 0.912025
"352/0191" "001/0246" 1 0 0 0  0.455 0 0 1 1956 0 0 0 NA NA 1 0.955 0.912025
"352/0202" "001/0254" 1 0 0 0  0.455 1 0 2 1956 0 0 0 NA  0 1 0.955 0.912025
"352/0232" "001/0278" 0 0 0 0  0.455 0 0 1 1956 0 0 0 NA  1 1 0.955 0.912025
"352/0322" "001/0370" 1 0 0 0  0.455 0 0 1 1956 0 0 0 NA  0 1 0.955 0.912025
"352/0330" "001/0376" 0 0 0 0  0.455 0 0 1 1956 0 0 0 NA NA 1 0.955 0.912025
"352/0354" "001/0393" 0 0 0 0  0.455 0 0 1 1956 0 0 0 NA  1 1 0.955 0.912025
"352/0380" "001/0412" 1 0 0 0  0.455 0 0 3 1956 1 0 0 NA NA 1 0.955 0.912025
"352/0385" "001/0415" 0 0 0 0  0.455 0 0 1 1956 0 0 0 NA  1 1 0.955 0.912025
"352/0407" "001/0430" 0 0 0 0  0.455 1 0 1 1956 0 0 0 NA  1 1 0.955 0.912025
"352/0432" "001/0448" 0 0 0 0  0.455 0 0 1 1956 0 0 0 NA NA 1 0.955 0.912025
"352/0567" "001/0563" 0 0 0 0  0.455 1 0 3 1956 1 0 0 NA  1 1 0.955 0.912025
"352/0599" "001/0583" 0 0 0 1  0.455 0 0 2 1956 0 0 0 NA  1 1 0.955 0.912025
"353/0053" "001/0639" 1 0 0 0  0.455 0 0 1 1956 0 0 0 NA  0 1 0.955 0.912025
"353/0072" "001/0652" 0 0 0 0  0.455 0 0 2 1956 0 0 0 NA  1 1 0.955 0.912025
"353/0194" "001/0765" 1 0 0 0  0.455 1 0 2 1956 0 0 0 NA  0 1 0.955 0.912025
"353/0232" "001/0796" 1 0 0 0  0.455 0 0 6 1956 1 0 0 NA NA 1 0.955 0.912025
"353/0252" "001/0810" 1 0 0 0  0.455 0 0 6 1956 1 0 0 NA NA 1 0.955 0.912025
"353/0373" "001/0918" 0 0 0 0  0.455 0 0 1 1956 0 0 0 NA  1 1 0.955 0.912025
"353/0391" "001/0931" 1 0 0 0  0.455 0 0 1 1956 1 0 0 NA  0 1 0.955 0.912025
"353/0427" "001/0956" 0 0 0 0  0.455 0 0 2 1956 0 0 0 NA  1 1 0.955 0.912025
"353/0569" "001/1045" 0 0 0 2  0.455 0 0 2 1956 0 0 0 NA  1 1 0.955 0.912025
"353/0583" "001/1054" 0 0 0 2  0.455 0 0 2 1956 0 0 0 NA  1 1 0.955 0.912025
"353/0657" "001/1103" 1 0 0 0  0.455 0 0 1 1956 1 0 0 NA  0 1 0.955 0.912025
"353/0685" "001/1122" 0 0 0 0  0.455 1 0 2 1956 0 0 0 NA  1 1 0.955 0.912025
"353/0692" "001/1127" 0 0 0 0  0.455 1 0 2 1956 0 0 0 NA  1 1 0.955 0.912025
"354/0118" "001/1225" 1 0 0 0  0.455 0 0 1 1956 0 0 0 NA  0 1 0.955 0.912025
"354/0156" "001/1253" 1 0 0 0  0.455 0 0 4 1956 0 0 0 NA NA 1 0.955 0.912025
"354/0178" "001/1273" 1 0 0 0  0.455 0 0 3 1956 1 0 0 NA  0 1 0.955 0.912025
"354/0234" "001/1311" 1 0 0 0  0.455 0 0 3 1956 1 0 0 NA NA 1 0.955 0.912025
"354/0271" "001/1337" 1 0 0 0  0.455 0 0 1 1956 0 0 0 NA  1 1 0.955 0.912025
"354/0278" "001/1342" 1 0 0 0  0.455 0 0 6 1956 0 0 0 NA  0 1 0.955 0.912025
"354/0284" "001/1347" 0 0 0 0  0.455 0 0 3 1956 0 0 0 NA NA 1 0.955 0.912025
"354/0298" "001/1356" 1 0 0 0  0.455 0 0 3 1956 1 0 0 NA  0 1 0.955 0.912025
"354/0363" "001/1403" 1 0 0 0  0.455 0 0 3 1956 1 0 0 NA  0 1 0.955 0.912025
"354/0394" "001/1442" 1 0 0 0  0.455 0 0 1 1956 0 0 0 NA  0 1 0.955 0.912025
"354/0416" "001/1456" 1 0 0 0  0.455 1 0 4 1956 0 0 0 NA NA 1 0.955 0.912025
"354/0436" "001/1469" 0 0 0 0  0.455 0 0 3 1956 1 0 0 NA NA 1 0.955 0.912025
"354/0449" "001/1479" 1 0 0 0  0.455 0 0 1 1956 0 0 0 NA  0 1 0.955 0.912025
